epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
29,92.0068,1.54314,2.03375,1.63897,1.51759,0.6638,0.54563,0.55837,0.39565,0.70024,0.56661,0.56872,0.36926,1.91076,2.75766,2.15039,1.82787,0.00103288,0.00103288,0.00103288
30,95.1424,1.55991,1.96865,1.6633,1.55197,0.68441,0.49022,0.57233,0.36586,0.71025,0.51333,0.57049,0.36376,1.90861,2.67846,2.04466,1.80348,0.00101873,0.00101873,0.00101873
31,98.1868,1.51782,2.06593,1.58174,1.54746,0.5636,0.63074,0.57882,0.38084,0.57399,0.59801,0.58166,0.36533,1.87337,2.6067,1.96622,1.80395,0.00100459,0.00100459,0.00100459
32,101.204,1.45108,1.97352,1.52246,1.48506,0.62398,0.48448,0.53578,0.37539,0.66231,0.514,0.55699,0.35107,1.7805,2.58786,1.97164,1.77837,0.00099044,0.00099044,0.00099044
33,104.292,1.47137,1.85402,1.58403,1.5048,0.60018,0.45496,0.52671,0.35828,0.55573,0.56916,0.54819,0.34392,1.83044,2.57315,2.02955,1.81118,0.000976293,0.000976293,0.000976293
34,107.332,1.50849,1.7995,1.61466,1.548,0.64632,0.47884,0.55056,0.37711,0.6729,0.50341,0.54463,0.36629,1.84018,2.85873,1.93902,1.82446,0.000962146,0.000962146,0.000962146
35,110.47,1.44034,1.90604,1.52071,1.46759,0.6279,0.49983,0.56234,0.3954,0.66559,0.52294,0.56516,0.37353,1.77773,2.6793,2.00975,1.76924,0.000947999,0.000947999,0.000947999
36,113.517,1.38509,1.76375,1.54549,1.46047,0.55049,0.53576,0.56491,0.37058,0.63721,0.5916,0.58887,0.38544,1.83281,2.51901,2.02093,1.77112,0.000933851,0.000933851,0.000933851
37,116.52,1.41585,1.84794,1.50671,1.46245,0.58504,0.57878,0.57543,0.3797,0.61544,0.60921,0.59195,0.40788,1.75551,2.50843,1.90744,1.71516,0.000919704,0.000919704,0.000919704
38,119.653,1.39183,1.87722,1.51515,1.45203,0.54863,0.55887,0.51757,0.3996,0.57669,0.57435,0.5397,0.38538,1.72701,2.61756,1.98042,1.70851,0.000905557,0.000905557,0.000905557
39,122.672,1.44638,1.94322,1.55807,1.4753,0.64586,0.58519,0.56021,0.42225,0.686,0.62112,0.59309,0.41594,1.76374,2.6478,2.00489,1.7127,0.00089141,0.00089141,0.00089141
40,125.953,1.38797,1.79364,1.47676,1.43415,0.68659,0.52227,0.55962,0.40688,0.7373,0.54217,0.58982,0.40723,1.75599,2.5057,1.97887,1.73458,0.000877263,0.000877263,0.000877263
